,Attack,Index,Tactic,Technique,Technique Name
17,BronzeButler,32,execution,T1086,PowerShell
4,BronzeButler,32,execution,T1059,Command-Line Interface
22,BronzeButler,32,execution,T1053,Scheduled Task
27,BronzeButler,32,execution,T1064,Scripting
18,BronzeButler,32,persistence,T1060,Registry Run Keys / Start Folder
23,BronzeButler,32,persistence,T1053,Scheduled Task
3,BronzeButler,32,privilege-escalation,T1088,Bypass User Account Control
24,BronzeButler,32,privilege-escalation,T1053,Scheduled Task
15,BronzeButler,32,defense-evasion,T1036,Masquerading
13,BronzeButler,32,defense-evasion,T1107,File Deletion
12,BronzeButler,32,defense-evasion,T1140,Deobfuscate/Decode Files or Information
32,BronzeButler,32,defense-evasion,T1102,Web Service
2,BronzeButler,32,defense-evasion,T1088,Bypass User Account Control
1,BronzeButler,32,defense-evasion,T1009,Binary Padding
26,BronzeButler,32,defense-evasion,T1064,Scripting
5,BronzeButler,32,credential-access,T1003,Credential Dumping
21,BronzeButler,32,discovery,T1018,Remote System Discovery
30,BronzeButler,32,discovery,T1124,System Time Discovery
0,BronzeButler,32,discovery,T1087,Account Discovery
14,BronzeButler,32,discovery,T1083,File and Directory Discovery
20,BronzeButler,32,lateral-movement,T1105,Remote File Copy
16,BronzeButler,32,lateral-movement,T1097,Pass the Ticket
11,BronzeButler,32,collection,T1039,Data from Network Shared Drive
10,BronzeButler,32,collection,T1005,Data from Local System
25,BronzeButler,32,collection,T1113,Screen Capture
9,BronzeButler,32,exfiltration,T1022,Data Encrypted
7,BronzeButler,32,exfiltration,T1002,Data Compressed
19,BronzeButler,32,command-and-control,T1105,Remote File Copy
8,BronzeButler,32,command-and-control,T1132,Data Encoding
28,BronzeButler,32,command-and-control,T1071,Standard Application Layer Protocol
29,BronzeButler,32,command-and-control,T1032,Standard Cryptographic Protocol
6,BronzeButler,32,command-and-control,T1024,Custom Cryptographic Protocol
31,BronzeButler,32,command-and-control,T1102,Web Service
