,Attack,Index,Tactic,Technique,Technique Name
1,Ke3chang,14,execution,T1059,Command-Line Interface
2,Ke3chang,14,credential-access,T1003,Credential Dumping
0,Ke3chang,14,discovery,T1087,Account Discovery
7,Ke3chang,14,discovery,T1083,File and Directory Discovery
8,Ke3chang,14,discovery,T1069,Permission Groups Discovery
9,Ke3chang,14,discovery,T1057,Process Discovery
10,Ke3chang,14,discovery,T1082,System Information Discovery
11,Ke3chang,14,discovery,T1016,System Network Configuration Discovery
12,Ke3chang,14,discovery,T1049,System Network Connections Discovery
13,Ke3chang,14,discovery,T1007,System Service Discovery
14,Ke3chang,14,lateral-movement,T1077,Windows Admin Shares
5,Ke3chang,14,collection,T1005,Data from Local System
3,Ke3chang,14,exfiltration,T1002,Data Compressed
4,Ke3chang,14,exfiltration,T1022,Data Encrypted
6,Ke3chang,14,exfiltration,T1041,Exfiltration Over Command and Control Channel
