,Attack,Index,Tactic,Technique,Technique Name
30,OilRig,32,initial-access,T1078,Valid Accounts
2,OilRig,32,execution,T1059,Command-Line Interface
20,OilRig,32,execution,T1064,Scripting
12,OilRig,32,execution,T1086,PowerShell
16,OilRig,32,persistence,T1108,Redundant Access
28,OilRig,32,persistence,T1078,Valid Accounts
31,OilRig,32,persistence,T1100,Web Shell
29,OilRig,32,privilege-escalation,T1078,Valid Accounts
32,OilRig,32,privilege-escalation,T1100,Web Shell
9,OilRig,32,defense-evasion,T1066,Indicator Removal from Tools
27,OilRig,32,defense-evasion,T1078,Valid Accounts
8,OilRig,32,defense-evasion,T1107,File Deletion
19,OilRig,32,defense-evasion,T1064,Scripting
15,OilRig,32,defense-evasion,T1108,Redundant Access
5,OilRig,32,defense-evasion,T1140,Deobfuscate/Decode Files or Information
10,OilRig,32,defense-evasion,T1027,Obfuscated Files or Information
3,OilRig,32,credential-access,T1003,Credential Dumping
13,OilRig,32,discovery,T1057,Process Discovery
26,OilRig,32,discovery,T1007,System Service Discovery
25,OilRig,32,discovery,T1033,System Owner/User Discovery
24,OilRig,32,discovery,T1049,System Network Connections Discovery
14,OilRig,32,discovery,T1012,Query Registry
23,OilRig,32,discovery,T1016,System Network Configuration Discovery
11,OilRig,32,discovery,T1069,Permission Groups Discovery
22,OilRig,32,discovery,T1082,System Information Discovery
0,OilRig,32,discovery,T1087,Account Discovery
18,OilRig,32,lateral-movement,T1021,Remote Services
17,OilRig,32,lateral-movement,T1076,Remote Desktop Protocol
1,OilRig,32,collection,T1119,Automated Collection
6,OilRig,32,exfiltration,T1048,Exfiltration Over Alternative Protocol
21,OilRig,32,command-and-control,T1071,Standard Application Layer Protocol
7,OilRig,32,command-and-control,T1008,Fallback Channels
4,OilRig,32,command-and-control,T1094,Custom Command and Control Protocol
