,Attack,Index,Tactic,Technique,Technique Name
0,SnowBug,9,execution,T1059,Command-Line Interface
7,SnowBug,9,defense-evasion,T1036,Masquerading
1,SnowBug,9,credential-access,T1003,Credential Dumping
6,SnowBug,9,credential-access,T1056,Input Capture
4,SnowBug,9,discovery,T1083,File and Directory Discovery
8,SnowBug,9,discovery,T1135,Network Share Discovery
9,SnowBug,9,discovery,T1082,System Information Discovery
3,SnowBug,9,collection,T1039,Data from Network Shared Drive
5,SnowBug,9,collection,T1056,Input Capture
2,SnowBug,9,exfiltration,T1002,Data Compressed
